2019-07-24 16:16:56,785 - INFO - ####################################
2019-07-24 16:16:56,785 - INFO - ############Loading Model###########
2019-07-24 16:16:56,785 - INFO - ####################################
2019-07-24 16:18:23,877 - INFO - Env 18, Goal (001.8, 001.4), Episode 00007, setp 113, Reward 38.5 , Distance 009.9, Reach Goal
2019-07-24 16:18:24,158 - INFO - Env 11, Goal (-06.2, 000.8), Episode 00007, setp 109, Reward 33.6 , Distance 008.0, Reach Goal
2019-07-24 16:18:24,714 - INFO - Env 07, Goal (001.6, -06.3), Episode 00006, setp 102, Reward 37.4 , Distance 009.5, Reach Goal
2019-07-24 16:18:25,639 - INFO - Env 05, Goal (-01.2, -02.1), Episode 00006, setp 125, Reward 38.1 , Distance 009.8, Reach Goal
2019-07-24 16:18:25,950 - INFO - Env 13, Goal (-04.8, -05.7), Episode 00006, setp 057, Reward -7.5 , Distance 009.7, Crashed
2019-07-24 16:18:25,950 - INFO - Env 23, Goal (-05.4, 005.8), Episode 00007, setp 043, Reward -10.7, Distance 008.3, Crashed
2019-07-24 16:18:26,397 - INFO - Env 21, Goal (-02.5, -05.6), Episode 00007, setp 127, Reward 34.6 , Distance 008.5, Reach Goal
2019-07-24 16:18:26,738 - INFO - Env 09, Goal (-08.2, -01.5), Episode 00007, setp 052, Reward -4.5 , Distance 008.6, Crashed
2019-07-24 16:18:27,105 - INFO - Env 17, Goal (-03.2, 004.7), Episode 00006, setp 089, Reward 36.4 , Distance 009.1, Reach Goal
2019-07-24 16:18:28,551 - INFO - Env 06, Goal (-00.3, 002.3), Episode 00010, setp 117, Reward 38.4 , Distance 009.9, Reach Goal
2019-07-24 16:18:31,065 - INFO - Env 20, Goal (005.6, -03.9), Episode 00007, setp 083, Reward 35.1 , Distance 008.6, Reach Goal
2019-07-24 16:18:31,591 - INFO - Env 15, Goal (001.3, -06.9), Episode 00008, setp 065, Reward -6.4 , Distance 009.3, Crashed
2019-07-24 16:18:31,916 - INFO - Env 19, Goal (-03.4, -02.4), Episode 00008, setp 102, Reward 4.3  , Distance 009.6, Crashed
2019-07-24 16:18:32,251 - INFO - Env 00, Goal (-01.3, 008.1), Episode 00008, setp 105, Reward 38.4 , Distance 010.0, Reach Goal
2019-07-24 16:18:32,559 - INFO - Env 03, Goal (-07.1, -00.9), Episode 00007, setp 105, Reward 35.4 , Distance 008.8, Reach Goal
2019-07-24 16:18:32,560 - INFO - Env 16, Goal (-01.5, -01.0), Episode 00009, setp 094, Reward 0.6  , Distance 008.2, Crashed
2019-07-24 16:18:32,560 - INFO - Env 00, Goal (006.8, -01.7), Episode 00009, setp 002, Reward -15.0, Distance 009.2, Crashed
2019-07-24 16:18:32,996 - INFO - Env 05, Goal (006.7, -03.0), Episode 00007, setp 048, Reward -7.2 , Distance 009.9, Crashed
2019-07-24 16:18:32,996 - INFO - Env 06, Goal (004.7, -02.7), Episode 00011, setp 031, Reward -13.6, Distance 008.6, Crashed
2019-07-24 16:18:32,998 - INFO - Env 00, Goal (001.0, -04.0), Episode 00010, setp 002, Reward -15.0, Distance 009.9, Crashed
2019-07-24 16:18:32,998 - INFO - Env 14, Goal (008.4, 001.7), Episode 00007, setp 104, Reward 37.0 , Distance 009.4, Reach Goal
2019-07-24 16:18:33,258 - INFO - Env 14, Goal (000.1, 005.9), Episode 00008, setp 002, Reward -15.0, Distance 009.4, Crashed
2019-07-24 16:18:33,259 - INFO - Env 21, Goal (000.5, 003.5), Episode 00008, setp 047, Reward -10.0, Distance 009.4, Crashed
2019-07-24 16:18:34,304 - INFO - Env 12, Goal (-02.0, 006.0), Episode 00007, setp 099, Reward 35.3 , Distance 008.7, Reach Goal
2019-07-24 16:18:36,361 - INFO - Env 02, Goal (-04.5, -03.9), Episode 00007, setp 144, Reward 38.7 , Distance 010.0, Reach Goal
2019-07-24 16:18:36,692 - INFO - Env 22, Goal (-07.2, 002.3), Episode 00008, setp 129, Reward 38.0 , Distance 009.9, Reach Goal
2019-07-24 16:18:38,494 - INFO - Env 08, Goal (000.6, -02.4), Episode 00007, setp 121, Reward 33.7 , Distance 008.0, Reach Goal
2019-07-24 16:18:38,776 - INFO - Env 10, Goal (-02.2, 000.1), Episode 00007, setp 109, Reward 38.7 , Distance 010.0, Reach Goal
2019-07-24 16:18:39,049 - INFO - Env 07, Goal (-02.5, -04.0), Episode 00007, setp 094, Reward 0.9  , Distance 008.9, Crashed
2019-07-24 16:18:39,049 - INFO - Env 10, Goal (-05.8, 000.9), Episode 00008, setp 002, Reward -15.0, Distance 008.7, Crashed
2019-07-24 16:18:39,375 - INFO - Env 01, Goal (003.6, 002.9), Episode 00008, setp 152, Reward 19.9 , Distance 009.7, Time out
